Player,MIN,FGM/FGA,FG%,FTM/FTA,FT%,3:00 PM,REB,AST,STL,BLK,TO,PTS,FG%_zscore,FT%_zscore,3:00 PM_zscore,REB_zscore,AST_zscore,STL_zscore,BLK_zscore,TO_zscore,PTS_zscore,TO_zscore_inverted,Total_ZScore,Rank
"Marvin Bagley III WshPF, C",14.0,3.7/5.3,0.688,1.0/1.0,1.0,0.0,5.0,1.7,0.0,0.7,0.7,8.3,1.431239237698461,1.0171296364599207,-1.2093881303096985,0.563012090996695,-0.258285763291556,-1.2268919213561835,0.7081211878945568,-0.5167527629793434,-0.12931582215739273,0.5167527629793434,1.4123732789141459,51
Quinten Post GSC,18.7,3.0/6.7,0.45,0.0/0.0,0.0,1.7,4.7,1.3,1.0,1.3,0.7,7.7,-0.091454240451882,-1.7335112823934338,0.4628745987762169,0.4310940687171629,-0.47841951187468607,0.5015729289554668,1.992986719918447,-0.5167527629793434,-0.2410392091449638,0.5167527629793434,1.3608568354816712,52
Jaxson Hayes LALC,20.8,3.3/4.0,0.813,0.8/1.8,0.429,0.3,4.8,1.8,0.3,0.5,0.3,7.5,2.230973207315238,-0.5534863282053447,-0.9142829428239486,0.47506674281034017,-0.20325232614577343,-0.7083524662626884,0.279832677219927,-1.003635424052366,-0.2782803381408208,1.003635424052366,1.3318536498192952,53
Sam Merrill CleSG,27.0,4.0/6.0,0.667,2.0/2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,14.0,1.296883930802843,1.0171296364599207,2.725347702833632,-1.6356216136621757,-1.1938541947698589,-1.2268919213561835,-0.7908885994666479,-0.15159076717457629,0.9320563542245313,0.15159076717457629,1.2757520622406378,54
Trendon Watford PhiPF,19.5,3.5/5.8,0.609,2.3/2.5,0.9,0.8,4.0,4.0,0.5,0.3,1.8,10.0,0.9258073689006583,0.7420655445745853,-0.42244096368103234,0.1232853500649209,1.0074832910614422,-0.3626594962003583,-0.148455833454703,0.8221745549714691,0.18723377430739152,-0.8221745549714691,1.2301444806014352,55
Yves MissiDTD NOC,25.0,2.5/4.0,0.625,1.5/2.0,0.75,0.0,7.5,1.5,0.0,1.5,2.0,6.5,1.0281733170116059,0.32946940674658204,-1.2093881303096985,1.6623289433261306,-0.36835263758312103,-1.2268919213561835,2.4212752305930767,1.0656158855079803,-0.46448598312010575,-1.0656158855079803,1.1065123398003063,56
Derik Queen NOC,16.0,2.8/5.5,0.5,2.8/3.5,0.786,0.0,5.5,2.3,1.8,0.3,1.8,8.3,0.22843934739482874,0.42849247982530286,-1.2093881303096985,0.7828754614625821,0.07191485958313909,1.884344809204787,-0.148455833454703,0.8221745549714691,-0.12931582215739273,-0.8221745549714691,1.0867326165773767,57
Cam Christie LACSG,16.0,3.5/5.5,0.636,2.5/3.5,0.714,1.5,2.0,1.5,0.5,0.0,0.0,11.0,1.0985499063378823,0.2304463336678612,0.2661378071190504,-0.7561681317986274,-0.36835263758312103,-0.3626594962003583,-0.7908885994666479,-1.3687974198571329,0.37343941928667646,1.3687974198571329,1.0593020212198487,58
Ziaire Williams BknSF,22.3,3.0/8.7,0.346,2.3/2.3,1.0,1.7,3.3,0.7,0.7,1.0,1.3,10.0,-0.7568329031730407,1.0171296364599207,0.4628745987762169,-0.1845233685873211,-0.8086201347493813,-0.01696652613802837,1.350553953906502,0.21357122863019076,0.18723377430739152,-0.21357122863019076,1.0372778021720688,59
Mitchell Robinson NYC,16.3,2.0/3.7,0.545,0.0/0.3,0.0,0.0,8.7,1.3,0.3,1.7,0.7,4.0,0.5163435764568688,-1.7335112823934338,-1.2093881303096985,2.1900010324442594,-0.47841951187468607,-0.7083524662626884,2.849563741267707,-0.5167527629793434,-0.9300000955683181,0.5167527629793434,1.0129896267393534,60
